user,size
17334883.0,40.0
17334926.0,26.0
17335416.0,23.0
17336849.0,28.0
17337075.0,34.0
17337223.0,37.0
17337348.0,18.0
17337349.0,28.0
17337369.0,34.0
17337571.0,28.0
17340236.0,31.0
17340773.0,23.0
17341627.0,17.0
17341886.0,29.0
17342091.0,64.0
17342922.0,29.0
17344077.0,18.0
17344620.0,54.0
17345779.0,42.0
17347045.0,37.0
17348010.0,29.0
17349751.0,49.0
17354844.0,16.0
17355861.0,70.0
17357344.0,33.0
17358184.0,26.0
17358481.0,28.0
17358863.0,25.0
17358967.0,69.0
17358999.0,26.0
17359039.0,18.0
17359273.0,30.0
17359371.0,23.0
17359480.0,87.0
17359700.0,37.0
17359749.0,29.0
17359991.0,21.0
17360170.0,18.0
17360243.0,51.0
17360472.0,29.0
17360516.0,22.0
17360569.0,18.0
17361150.0,25.0
17361356.0,25.0
17361902.0,18.0
17361925.0,28.0
17362145.0,32.0
17362855.0,54.0
17363262.0,51.0
17363573.0,30.0
17364928.0,25.0
17366774.0,30.0
17367863.0,16.0
17368589.0,19.0
17368732.0,29.0
17369971.0,29.0
17372647.0,40.0
17373786.0,53.0
17378836.0,26.0
17378873.0,17.0
17378913.0,26.0
17379211.0,27.0
17379294.0,51.0
17379358.0,40.0
17379466.0,21.0
17379895.0,31.0
17380453.0,17.0
17380743.0,66.0
17380749.0,18.0
17381847.0,49.0
17381920.0,66.0
17382208.0,25.0
17382368.0,23.0
17384282.0,24.0
17384287.0,37.0
17384390.0,18.0
17384889.0,29.0
17384914.0,33.0
17385566.0,37.0
17385673.0,37.0
17385718.0,29.0
17385862.0,28.0
17386034.0,31.0
17386349.0,51.0
17386445.0,40.0
17386511.0,25.0
17387051.0,70.0
17387702.0,18.0
17388760.0,29.0
17389505.0,17.0
17389700.0,45.0
17389955.0,69.0
17390198.0,16.0
17390249.0,19.0
17390454.0,18.0
17390743.0,18.0
17402074.0,26.0
17402478.0,26.0
17403124.0,29.0
17404038.0,31.0
17405329.0,27.0
17405369.0,69.0
17406089.0,30.0
17406206.0,26.0
17406237.0,14.0
17406389.0,69.0
17406506.0,33.0
17422125.0,83.0
17423381.0,29.0
17423427.0,40.0
17434114.0,29.0
17434378.0,25.0
17434898.0,44.0
17434907.0,40.0
17435081.0,29.0
17435469.0,19.0
17435586.0,29.0
17435785.0,27.0
17436698.0,19.0
17437853.0,40.0
17438277.0,14.0
17438306.0,30.0
17438496.0,63.0
17438618.0,28.0
17439000.0,28.0
17439161.0,66.0
17439541.0,27.0
17439551.0,28.0
17439861.0,26.0
17445696.0,10.0
17457199.0,39.0
17458288.0,28.0
17458317.0,40.0
17458345.0,23.0
17458445.0,25.0
17458645.0,26.0
17459385.0,27.0
17459510.0,26.0
17460051.0,29.0
17460221.0,19.0
17461521.0,18.0
17462552.0,37.0
17483895.0,32.0
17484293.0,37.0
17484548.0,37.0
17484657.0,50.0
17488783.0,26.0
17488794.0,22.0
17497185.0,17.0
17506173.0,31.0
17506754.0,33.0
17506795.0,54.0
17507162.0,19.0
17507859.0,33.0
17508046.0,40.0
17508121.0,33.0
17513143.0,12.0
17521364.0,16.0
17542562.0,21.0
17554953.0,26.0
17555435.0,18.0
17556256.0,51.0
17556720.0,44.0
17584958.0,45.0
17585153.0,33.0
17585162.0,32.0
17585731.0,26.0
17586431.0,40.0
17587265.0,14.0
17587277.0,51.0
17587944.0,32.0
17588727.0,32.0
17588830.0,40.0
17588982.0,40.0
17589206.0,67.0
17589497.0,19.0
17590312.0,67.0
17590846.0,32.0
17590910.0,28.0
17591131.0,33.0
17596988.0,12.0
17610730.0,54.0
17610924.0,30.0
17618780.0,22.0
17625397.0,52.0
17658551.0,34.0
17741794.0,75.0
17844618.0,23.0
17862656.0,30.0
17931225.0,48.0
17934943.0,10.0
17965943.0,20.0
17987318.0,31.0
18022253.0,19.0
18025750.0,47.0
18063992.0,13.0
18076480.0,54.0
18083868.0,35.0
18094650.0,16.0
18135856.0,10.0
18165107.0,44.0
18180180.0,24.0
18206742.0,27.0
18228325.0,65.0
18236230.0,11.0
18272298.0,34.0
18333100.0,57.0
18374590.0,26.0
18444029.0,34.0
18444685.0,58.0
18448279.0,23.0
18462297.0,31.0
18464948.0,12.0
18625780.0,20.0
18656921.0,90.0
18814097.0,48.0
18951187.0,38.0
18964304.0,33.0
19001870.0,25.0
19007528.0,65.0
19009802.0,12.0
19097530.0,15.0
19119256.0,48.0
19129186.0,11.0
19150052.0,14.0
19187542.0,10.0
19204995.0,12.0
19225282.0,11.0
19313718.0,101.0
19320629.0,87.0
19343514.0,56.0
19378628.0,12.0
19405140.0,18.0
19454250.0,21.0
19460711.0,13.0
19503968.0,42.0
19560480.0,26.0
19671319.0,70.0
19675872.0,332.0
19680139.0,39.0
19747608.0,16.0
19776790.0,12.0
19787336.0,13.0
19881311.0,52.0
19921935.0,18.0
19951049.0,13.0
19975142.0,25.0
20071527.0,75.0
20112341.0,15.0
20167496.0,68.0
20214061.0,13.0
20216768.0,11.0
20233071.0,199.0
20257206.0,17.0
20324038.0,18.0
20382716.0,99.0
20409250.0,11.0
20480469.0,85.0
20520708.0,12.0
20525381.0,44.0
20631332.0,13.0
20679898.0,10.0
20721949.0,19.0
20732149.0,199.0
20932219.0,13.0
20967225.0,31.0
21133455.0,105.0
21145074.0,26.0
21202819.0,15.0
21248584.0,11.0
21248766.0,15.0
21331235.0,179.0
21415830.0,42.0
21438035.0,10.0
21451513.0,15.0
21458799.0,53.0
21493767.0,15.0
21507094.0,28.0
21507244.0,191.0
21527190.0,197.0
21533209.0,168.0
21596282.0,12.0
21621986.0,137.0
21668677.0,17.0
21715653.0,30.0
21746692.0,60.0
21776992.0,135.0
21778255.0,10.0
21783549.0,21.0
21787659.0,12.0
21790225.0,38.0
21797349.0,26.0
21812710.0,46.0
21816802.0,24.0
21828558.0,135.0
21832853.0,30.0
21910115.0,10.0
21935915.0,27.0
21950044.0,101.0
21968919.0,21.0
22057641.0,38.0
22125115.0,12.0
22296694.0,105.0
22389661.0,106.0
22425910.0,16.0
22447891.0,77.0
22496594.0,229.0
22543345.0,109.0
22784929.0,119.0
22811620.0,14.0
22820553.0,44.0
22835672.0,67.0
22837515.0,11.0
22838580.0,20.0
22870565.0,31.0
22891572.0,18.0
22961220.0,27.0
23016433.0,18.0
23082666.0,19.0
23132446.0,33.0
23133504.0,74.0
23202269.0,20.0
23334615.0,186.0
23345253.0,707.0
23349039.0,13.0
23359535.0,11.0
23375934.0,500.0
23420605.0,10.0
23491526.0,18.0
23494299.0,12.0
23507611.0,47.0
23523065.0,11.0
23525847.0,10.0
23532443.0,26.0
23610294.0,83.0
23654872.0,44.0
23683621.0,11.0
23686595.0,34.0
23695198.0,13.0
23703410.0,10.0
23705779.0,46.0
23715836.0,13.0
23717768.0,38.0
23724304.0,137.0
23747550.0,16.0
23806652.0,11.0
23817021.0,21.0
23896043.0,17.0
23929864.0,28.0
23988136.0,10.0
24047218.0,26.0
24077557.0,27.0
24084828.0,74.0
24111006.0,15.0
24143685.0,10.0
24166399.0,15.0
24205572.0,163.0
24212439.0,362.0
24231225.0,278.0
24250251.0,24.0
24299407.0,20.0
24304267.0,238.0
24346895.0,26.0
24417826.0,13.0
24441054.0,20.0
24450492.0,17.0
24537123.0,167.0
24549000.0,13.0
24554029.0,11.0
24570673.0,15.0
24621067.0,12.0
24624093.0,274.0
24624969.0,169.0
24627041.0,140.0
24627305.0,68.0
24627517.0,172.0
24628001.0,19.0
24628477.0,35.0
24628773.0,106.0
24629015.0,76.0
24629363.0,70.0
24629739.0,125.0
24630400.0,47.0
24630993.0,671.0
24631569.0,11.0
24632266.0,36.0
24632365.0,26.0
24632659.0,92.0
24633057.0,28.0
24633713.0,10.0
24634043.0,176.0
24634263.0,151.0
24634756.0,193.0
24635211.0,298.0
24635543.0,41.0
24710191.0,425.0
24779087.0,261.0
24786107.0,41.0
24816597.0,29.0
24824715.0,15.0
24836463.0,27.0
24883279.0,23.0
24883302.0,13.0
24936965.0,12.0
24956406.0,11.0
24957185.0,284.0
25080179.0,20.0
25148881.0,17.0
25151467.0,386.0
25176832.0,24.0
25182645.0,215.0
25182738.0,12.0
25255739.0,97.0
25282025.0,13.0
25304376.0,101.0
25391942.0,70.0
25411753.0,46.0
25508318.0,26.0
25669379.0,84.0
25681409.0,101.0
25789034.0,41.0
25848811.0,12.0
25856346.0,245.0
25903997.0,57.0
25904109.0,15.0
25924633.0,35.0
25943249.0,25.0
26008201.0,66.0
26039947.0,11.0
26095710.0,78.0
26137532.0,22.0
26147939.0,10.0
26260572.0,23.0
26311825.0,203.0
26340613.0,44.0
26378422.0,353.0
26405344.0,16.0
26451519.0,28.0
26499887.0,65.0
26514157.0,11.0
26569647.0,10.0
26630977.0,14.0
26633009.0,39.0
26679785.0,11.0
26748666.0,16.0
26758226.0,98.0
26766055.0,13.0
26785434.0,39.0
26814882.0,10.0
26821056.0,29.0
26842169.0,103.0
26908464.0,15.0
26992668.0,822.0
26995777.0,97.0
26998983.0,12.0
27051049.0,30.0
27111868.0,11.0
27138061.0,10.0
27145240.0,33.0
27178689.0,33.0
27282817.0,319.0
27305374.0,15.0
27342391.0,21.0
27372554.0,18.0
27386176.0,10.0
27518680.0,130.0
27522159.0,25.0
27532440.0,20.0
27546879.0,58.0
27560834.0,31.0
27687073.0,29.0
27792170.0,29.0
27879891.0,259.0
27970716.0,203.0
27987978.0,103.0
27997053.0,100.0
28036628.0,156.0
28130357.0,20.0
28143448.0,14.0
28144828.0,10.0
28145751.0,33.0
28215411.0,47.0
28270708.0,24.0
28382445.0,10.0
28441651.0,28.0
28445310.0,460.0
28447324.0,69.0
28489855.0,13.0
28566245.0,186.0
28617568.0,118.0
28653462.0,96.0
28691410.0,18.0
28697749.0,47.0
28700169.0,15.0
28705303.0,419.0
28823577.0,31.0
28937644.0,57.0
28943578.0,55.0
29036253.0,146.0
29066470.0,11.0
29128965.0,16.0
29140992.0,21.0
29154616.0,423.0
29257738.0,23.0
29265047.0,42.0
29271714.0,82.0
29299954.0,13.0
29307687.0,55.0
29347690.0,18.0
29358925.0,12.0
29394392.0,125.0
29422988.0,49.0
29437680.0,78.0
29507130.0,13.0
29538342.0,12.0
29548883.0,12.0
29569913.0,11.0
29580955.0,32.0
29597467.0,12.0
29613471.0,12.0
29655853.0,15.0
29775799.0,11.0
29807758.0,11.0
29812318.0,10.0
29823977.0,14.0
29843009.0,67.0
29896192.0,21.0
29910178.0,151.0
29916857.0,15.0
29924925.0,17.0
29992229.0,371.0
30124921.0,36.0
30158017.0,24.0
30159844.0,32.0
30227550.0,52.0
30230630.0,22.0
30261400.0,424.0
30369059.0,72.0
30385700.0,12.0
30468096.0,16.0
30482613.0,27.0
30502518.0,74.0
30505576.0,17.0
30520344.0,10.0
30524021.0,49.0
30595012.0,65.0
30671557.0,13.0
30785213.0,13.0
30823525.0,20.0
30860650.0,38.0
30863349.0,12.0
30873495.0,11.0
30880721.0,44.0
30881177.0,51.0
31001363.0,86.0
31216791.0,10.0
31249102.0,30.0
31298186.0,39.0
31326199.0,15.0
31338922.0,22.0
31413905.0,12.0
31420832.0,117.0
31444485.0,69.0
31454847.0,42.0
31541791.0,19.0
31544935.0,84.0
31636358.0,42.0
31671050.0,15.0
31813538.0,32.0
32178749.0,49.0
32206059.0,404.0
32242057.0,243.0
32265491.0,19.0
32281159.0,56.0
32293987.0,31.0
32323872.0,91.0
32540274.0,268.0
32728037.0,47.0
32730148.0,170.0
32765843.0,23.0
32769884.0,45.0
32858119.0,22.0
32929775.0,77.0
32992976.0,34.0
33027664.0,15.0
33029513.0,43.0
33030344.0,15.0
33047702.0,303.0
33050267.0,28.0
33068437.0,48.0
33105432.0,25.0
33136395.0,27.0
33200718.0,42.0
33306325.0,187.0
33307596.0,47.0
33315375.0,36.0
33318700.0,385.0
33356371.0,263.0
33386443.0,59.0
33392158.0,26.0
33405004.0,1219.0
33496806.0,70.0
33546493.0,40.0
33562836.0,51.0
33579936.0,22.0
33643681.0,467.0
33659628.0,17.0
33686927.0,10.0
33704939.0,10.0
33719221.0,21.0
33749690.0,121.0
33787721.0,46.0
33880064.0,10.0
33927540.0,134.0
33993509.0,38.0
34021218.0,30.0
34083342.0,10.0
34147889.0,1735.0
34150544.0,31.0
34285217.0,16.0
34316891.0,12.0
34323329.0,19.0
34337589.0,183.0
34381831.0,26.0
34393226.0,41.0
34417490.0,17.0
34475336.0,80.0
34640478.0,30.0
34663221.0,13.0
34663911.0,94.0
34742558.0,42.0
34742833.0,153.0
34785348.0,22.0
34789068.0,11.0
34798470.0,18.0
34806115.0,16.0
34827278.0,903.0
34836586.0,12.0
34840189.0,13.0
34853253.0,13.0
34920848.0,37.0
34921066.0,74.0
35026771.0,83.0
35084723.0,33.0
35100154.0,33.0
35150790.0,22.0
35364913.0,31.0
35473347.0,24.0
35499169.0,17.0
35552316.0,35.0
35630744.0,23.0
35659602.0,25.0
35760963.0,75.0
35773449.0,62.0
35834072.0,33.0
35846728.0,12.0
35861746.0,14.0
35986351.0,21.0
36130501.0,25.0
36158751.0,701.0
36161992.0,13.0
36168511.0,18.0
36170106.0,379.0
36185327.0,24.0
36192770.0,165.0
36223753.0,107.0
36277721.0,16.0
36292996.0,19.0
36373371.0,587.0
36380142.0,60.0
36411357.0,38.0
36547379.0,66.0
36642484.0,15.0
